energy,nu_e,nu_mu,nu_tau,nu_e_bar,nu_mu_bar,nu_tau_bar
-2.714267,0.00E+00,0.00E+00,0.00E+00,1.16E-03,0.00E+00,0.00E+00
-2.711966,0.00E+00,0.00E+00,0.00E+00,1.24E-03,0.00E+00,0.00E+00
-2.709665,0.00E+00,0.00E+00,0.00E+00,1.32E-03,0.00E+00,0.00E+00
-2.707364,0.00E+00,0.00E+00,0.00E+00,1.40E-03,0.00E+00,0.00E+00
-2.705063,0.00E+00,0.00E+00,0.00E+00,1.48E-03,0.00E+00,0.00E+00
-2.702762,0.00E+00,0.00E+00,0.00E+00,1.55E-03,0.00E+00,0.00E+00
-2.700461,0.00E+00,0.00E+00,0.00E+00,1.63E-03,0.00E+00,0.00E+00
-2.69816,0.00E+00,0.00E+00,0.00E+00,1.70E-03,0.00E+00,0.00E+00
-2.695859,0.00E+00,0.00E+00,0.00E+00,1.78E-03,0.00E+00,0.00E+00
-2.693558,0.00E+00,0.00E+00,0.00E+00,1.85E-03,0.00E+00,0.00E+00
-2.691257,0.00E+00,0.00E+00,0.00E+00,1.92E-03,0.00E+00,0.00E+00
-2.688956,0.00E+00,0.00E+00,0.00E+00,1.99E-03,0.00E+00,0.00E+00
-2.686655,0.00E+00,0.00E+00,0.00E+00,2.06E-03,0.00E+00,0.00E+00
-2.684354,0.00E+00,0.00E+00,0.00E+00,2.13E-03,0.00E+00,0.00E+00
-2.682053,0.00E+00,0.00E+00,0.00E+00,2.20E-03,0.00E+00,0.00E+00
-2.679752,0.00E+00,0.00E+00,0.00E+00,2.27E-03,0.00E+00,0.00E+00
-2.677451,0.00E+00,0.00E+00,0.00E+00,2.34E-03,0.00E+00,0.00E+00
-2.67515,0.00E+00,0.00E+00,0.00E+00,2.41E-03,0.00E+00,0.00E+00
-2.672849,0.00E+00,0.00E+00,0.00E+00,2.48E-03,0.00E+00,0.00E+00
-2.670548,0.00E+00,0.00E+00,0.00E+00,2.55E-03,0.00E+00,0.00E+00
-2.668247,0.00E+00,0.00E+00,0.00E+00,2.62E-03,0.00E+00,0.00E+00
-2.665946,0.00E+00,0.00E+00,0.00E+00,2.69E-03,0.00E+00,0.00E+00
-2.663645,0.00E+00,0.00E+00,0.00E+00,2.76E-03,0.00E+00,0.00E+00
-2.661344,0.00E+00,0.00E+00,0.00E+00,2.83E-03,0.00E+00,0.00E+00
-2.659043,0.00E+00,0.00E+00,0.00E+00,2.91E-03,0.00E+00,0.00E+00
-2.656742,0.00E+00,0.00E+00,0.00E+00,2.98E-03,0.00E+00,0.00E+00
-2.654441,0.00E+00,0.00E+00,0.00E+00,3.05E-03,0.00E+00,0.00E+00
-2.65214,0.00E+00,0.00E+00,0.00E+00,3.13E-03,0.00E+00,0.00E+00
-2.649839,0.00E+00,0.00E+00,0.00E+00,3.20E-03,0.00E+00,0.00E+00
-2.647537,0.00E+00,0.00E+00,0.00E+00,3.28E-03,0.00E+00,0.00E+00
